,ID,Fuel Type Code,Access Code,Geocode Status,Latitude,Longitude,City,State,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Connector Types,EV Pricing,CNG Dispenser Num,LPG Nozzle Types
19285,115487,ELEC,public,200-9,40.448666,-79.933862,Pittsburgh,PA,,2.0,,TESLA,Free,,
19286,115488,ELEC,public,200-8,40.551641,-80.020135,Pittsburgh,PA,,4.0,,J1772 TESLA,Free,,
19287,115489,ELEC,public,200-9,40.427759,-80.040057,Pittsburgh,PA,,3.0,,J1772 TESLA,Free,,
19288,115490,ELEC,public,200-8,40.43743,-79.998683,Pittsburgh,PA,,2.0,,TESLA,Free,,
19289,115491,ELEC,public,200-9,40.109373,-75.292352,Plymouth Meeting,PA,,3.0,,J1772 TESLA,Free,,
19290,115492,ELEC,public,200-9,41.103495,-75.39148,Pocono Manor,PA,,8.0,,J1772 TESLA,Free,,
19291,115493,ELEC,public,200-9,40.335508,-75.923235,Reading,PA,,4.0,,J1772 TESLA,Free,,
19292,115494,ELEC,public,200-9,40.693479,-77.100678,Richfield,PA,,2.0,,J1772 TESLA,Free,,
19293,115495,ELEC,public,200-9,41.986923,-76.546622,Sayre,PA,,3.0,,J1772 TESLA,Free,,
19294,115496,ELEC,public,200-8,41.283658,-80.428087,Sharpsville,PA,,1.0,,TESLA,Free,,
19295,115497,ELEC,public,GPS,41.228181,-75.238315,Skytop,PA,,4.0,,J1772 TESLA,Free,,
19296,115498,ELEC,public,200-9,39.925973,-75.350497,Springfield,PA,,3.0,,J1772 TESLA,Free,,
19297,115499,ELEC,public,200-8,40.80874,-77.835061,State College,PA,,2.0,,J1772 TESLA,Free,,
19298,115500,ELEC,public,200-9,40.810432,-77.832456,State College,PA,,4.0,,J1772 TESLA,Free,,
19299,115501,ELEC,public,200-9,40.793635,-77.858706,State College,PA,,2.0,,TESLA,Free,,
19300,115502,ELEC,public,GPS,41.788976,-76.455757,Towanda,PA,,2.0,,J1772 TESLA,Free,,
19301,115503,ELEC,public,200-9,40.265435,-75.13379,Warrington,PA,,3.0,,J1772 TESLA,Free,,
19302,115504,ELEC,public,GPS,40.216964,-80.202529,Washington,PA,,3.0,,J1772 TESLA,Free,,
19303,115506,ELEC,public,200-8,41.236461,-75.864934,Wilkes Barre,PA,,2.0,,TESLA,Free,,
