,category,model,model_year,manufacturer,fuel,all_electric_range,PHEV_total_range,alternative_fuel_economy_city,alternative_fuel_economy_highway,alternative_fuel_economy_combined,conventional_fuel_economy_city,conventional_fuel_economy_highway,conventional_fuel_economy_combined
420,Passenger Van/Shuttle Bus,Transit Connect Wagon LWB FFV,2021,Ford,Ethanol (E85),,,17.0,21.0,19.0,24.0,29.0,26.0
421,Passenger Van/Shuttle Bus,Transit T150 Passenger Van 2WD FFV,2021,Ford,Ethanol (E85),,,11.0,14.0,12.0,14.0,18.0,16.0
422,Passenger Van/Shuttle Bus,Transit T150 Passenger Van 4WD FFV,2021,Ford,Ethanol (E85),,,11.0,14.0,12.0,15.0,19.0,16.0
423,Pickup,Canyon 2WD,2021,GMC,Biodiesel (B20),,,,,,20.0,30.0,23.0
424,Pickup,Canyon 4WD,2021,GMC,Biodiesel (B20),,,,,,19.0,28.0,22.0
425,Pickup,Sierra 2WD,2021,GMC,Biodiesel (B20),,,,,,23.0,30.0,26.0
426,Pickup,Sierra 2WD,2021,GMC,Ethanol (E85),,,11.0,15.0,12.0,15.0,19.0,16.0
427,Pickup,Sierra 4WD,2021,GMC,Biodiesel (B20),,,,,,22.0,26.0,24.0
428,Pickup,Sierra 4WD,2021,GMC,Ethanol (E85),,,11.0,13.0,12.0,14.0,18.0,16.0
429,Pickup,Sierra 4WD AT4,2021,GMC,Biodiesel (B20),,,,,,22.0,26.0,24.0
430,SUV,Yukon 2WD,2021,GMC,Biodiesel (B20),,,,,,21.0,27.0,23.0
431,SUV,Yukon 4WD,2021,GMC,Biodiesel (B20),,,,,,20.0,26.0,22.0
432,SUV,Yukon XL 2WD,2021,GMC,Biodiesel (B20),,,,,,21.0,27.0,23.0
433,SUV,Yukon XL 4WD,2021,GMC,Biodiesel (B20),,,,,,20.0,26.0,22.0
434,Sedan/Wagon,Accord,2021,Honda,Hybrid Electric,,,,,,48.0,48.0,48.0
435,Sedan/Wagon,Accord Sport/Touring,2021,Honda,Hybrid Electric,,,,,,44.0,41.0,43.0
436,Sedan/Wagon,Clarity,2021,Honda,Hydrogen Fuel Cell,,,68.0,67.0,68.0,,,
437,Sedan/Wagon,Clarity PHEV,2021,Honda,Plug-in Hybrid Electric,48.0,,,,110.0,44.0,40.0,42.0
438,SUV,CR-V AWD,2021,Honda,Hybrid Electric,,,,,,40.0,35.0,38.0
439,Sedan/Wagon,Insight,2021,Honda,Hybrid Electric,,,,,,55.0,49.0,52.0
440,Sedan/Wagon,Insight Touring,2021,Honda,Hybrid Electric,,,,,,51.0,45.0,48.0
