,station_id,acces_code,latitude,longitude,city,state,ev_level1_evse_num,ev_level2_evse_num,ev_dc_fast_count,ev_connector_types,ev_pricing
10369,79635,public,41.347552,-72.028928,Groton,CT,0,2,-1,J1772,Free
10370,79636,public,41.341893,-72.009806,Groton,CT,0,2,-1,J1772,Free
10371,79637,public,41.345816,-72.033489,Groton,CT,0,2,-1,J1772,Free
10372,79638,public,41.317722,-72.065994,Groton,CT,0,2,-1,J1772,Free
10373,79639,public,41.384051,-72.903596,Hamden,CT,0,2,-1,J1772,Free
10374,79640,public,41.359826,-72.909054,Hamden,CT,0,2,-1,J1772,Free
10375,79641,public,41.785974,-72.652406,Hartford,CT,0,1,-1,J1772,Free
10376,79642,public,41.762206,-72.672842,Hartford,CT,0,1,-1,J1772,Free
10377,79643,public,41.765034,-72.701271,Hartford,CT,0,2,-1,J1772,Free
10378,79644,public,41.769974,-72.672545,Hartford,CT,0,4,-1,J1772,Free
10379,79645,public,41.65659,-72.367191,Hebron,CT,0,2,-1,J1772,Free
10380,79646,public,41.26449,-72.561988,Madison,CT,0,4,-1,J1772,Free
10381,79647,public,41.251952,-72.546017,Madison,CT,0,4,-1,J1772,Free
10382,79648,public,41.536236,-72.797226,Meriden,CT,0,4,-1,J1772,Free
10383,79649,public,41.5871612,-72.6824246,Middletown,CT,0,2,-1,J1772,Free
10384,79650,public,41.561647,-72.648056,Middletown,CT,0,12,-1,J1772,Free
10385,79651,public,41.576716,-72.681921,Middletown,CT,0,2,-1,J1772,Free
10386,79652,public,41.541535,-72.647076,Middletown,CT,0,2,-1,J1772,Free
10387,79653,public,41.563917,-72.711926,Middletown,CT,0,2,-1,J1772,Free
10388,79654,public,41.222682,-73.060012,Milford,CT,0,2,-1,J1772,Free
10389,79655,public,41.226575,-73.062364,Milford,CT,0,2,-1,J1772,Free
10390,79656,public,41.465514,-73.487032,New Fairfield,CT,0,1,-1,J1772,Free
10391,79657,public,41.300883,-72.24323,Niantic,CT,0,2,-1,J1772,Free
10392,79658,public,41.312148,-72.345572,Old Lyme,CT,0,2,-1,J1772,Free
10393,79659,public,41.477151,-73.146142,Oxford,CT,0,2,-1,J1772,Free
10394,79660,public,41.983904,-72.489406,Simsbury,CT,0,2,-1,J1772,Free
10395,79661,public,41.956727,-72.289249,Stafford Springs,CT,0,1,-1,J1772,Free
10396,79662,public,41.984164,-72.290233,Stafford Springs,CT,0,1,-1,J1772,Free
10397,79663,public,41.099044,-73.544039,Stamford,CT,0,2,-1,J1772,Free
10398,79664,public,41.555816,-73.038135,Waterbury,CT,0,2,-1,J1772,Free
10399,79666,public,41.723169,-72.214432,Windham,CT,0,2,-1,J1772,Free
10400,79667,public,41.929342,-72.670609,Windsor Locks,CT,0,4,-1,J1772,Free
10401,79668,public,41.918347,-72.672748,Windsor Locks,CT,0,2,-1,J1772,Free
10402,79669,public,41.353582,-73.011407,Woodbridge,CT,0,2,-1,J1772,Free
10414,79730,public,41.09997,-73.416587,Norwalk,CT,0,2,-1,J1772,-1
10469,79943,public,41.289894,-72.809324,Branford,CT,0,1,-1,J1772,Free
10497,80126,public,40.298844,-76.659039,Hershey,PA,0,2,-1,J1772,-1
