,ID,Fuel Type Code,Access Code,Geocode Status,Latitude,Longitude,City,State
60611,203148,E85,public,GPS,40.73839103463865,-75.26340020629884,Easton,PA
60667,203308,E85,public,200-9,39.993386,-76.027876,Gap,PA
61175,204321,E85,public,200-9,40.581645,-75.708248,Kutztown,PA
61180,204326,E85,public,200-8,41.3839,-75.709717,Taylor,PA
61831,205228,E85,public,200-9,41.951509,-73.99378,Kingston,NY
62927,207043,E85,public,200-9,40.080528,-76.765947,York,PA
62930,207046,E85,public,200-9,40.496459,-78.411047,Altoona,PA
62931,207047,E85,public,200-9,40.130949,-76.794317,Etters,PA
62932,207048,E85,public,200-9,39.910695,-76.704991,York,PA
62933,207049,E85,public,200-9,39.958886,-76.681345,York,PA
62934,207050,E85,public,200-9,40.081024,-76.76543,York,PA
62935,207051,E85,public,200-9,39.995876,-76.733822,York,PA
62936,207052,E85,public,200-9,39.92926,-76.822351,York,PA
65368,213652,E85,public,200-9,40.861799,-79.967283,Butler,PA
65370,213655,E85,public,GPS,41.09082619366148,-75.32573837434387,Swiftwater,PA
65490,213802,E85,public,GPS,40.306718133563386,-75.97904023007202,Reading,PA
65525,213854,E85,public,GPS,40.41500966723346,-77.01266485186768,Duncannon,PA
67500,219677,E85,public,GPS,40.1320190280457,-77.0196250083866,Dillsburg,PA
67501,219678,E85,public,GPS,39.9068445789654,-76.6111552930505,Red Lion,PA
67502,219679,E85,public,GPS,39.9263073087216,-77.7460298065433,St. Thomas,PA
67503,219680,E85,public,GPS,40.5365428099013,-75.7365349739932,Kutztown,PA
67504,219681,E85,public,GPS,40.4355773338105,-78.4350490237204,Duncansville,PA
67505,219682,E85,public,GPS,41.7684979157598,-78.0269973945571,Coudersport,PA
67506,219683,E85,public,GPS,40.3724815091084,-76.6496058295328,Grantville,PA
67507,219684,E85,public,GPS,40.2809611130674,-79.5510802842183,Greensburg,PA
67508,219685,E85,public,GPS,40.268418107677,-76.6907828583702,Hummelstown,PA
67509,219686,E85,public,GPS,40.0526128281886,-76.2548231461566,Lancaster,PA
67510,219687,E85,public,GPS,40.0823508901356,-76.3811997749912,Lancaster,PA
67511,219688,E85,public,GPS,40.2869391150215,-79.3792810537958,Latrobe,PA
67512,219689,E85,public,GPS,40.1169198731026,-76.3044951927477,Lititz,PA
67513,219690,E85,public,GPS,41.62027393518,-80.1683847503846,Meadville,PA
67514,219691,E85,public,GPS,40.1123994170363,-76.4522111772714,Mt. Joy,PA
67515,219692,E85,public,GPS,40.218864441213,-79.6096737178879,New Stanton,PA
67516,219693,E85,public,GPS,40.7593370191915,-77.8777295657446,State College,PA
67517,219694,E85,public,GPS,40.348308736657,-79.9381790541055,West Mifflin,PA
67518,219695,E85,public,GPS,40.376092812625,-80.0985832234234,Bridgeville,PA
67619,219831,E85,public,GPS,40.718284717194,-73.4381340981759,Farmingdale,NY
67623,219835,E85,public,GPS,40.4396953061036,-75.9465558592048,Leesport,PA
